Journal name,Year,JIF,Rank," 9,483.00 ",,,,,,
Macedonian Journal of Chemistry and Chemical engineering,2022,1,8166, 86.11 ,,,,,,
MAMMAL STUDY,2022,1,8167, 86.12 ,,,,,,
MAMMALIA,2022,1,8168, 86.13 ,,,,,,
MAPAN-Journal of Metrology Society of India,2022,1,8169, 86.14 ,,,,,,
MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY,2022,1,8170, 86.15 ,,,,,,
Materials Science-Medziagotyra,2022,1,8171, 86.16 ,,,,,,
MATHEMATICAL INEQUALITIES & APPLICATIONS,2022,1,8172, 86.18 ,,,,,,
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,2022,1,8173, 86.19 ,,,,,,
MATHEMATICAL RESEARCH LETTERS,2022,1,8174, 86.20 ,,,,,,
Mathematics in Engineering,2022,1,8175, 86.21 ,,,,,,
MATHEMATISCHE NACHRICHTEN,2022,1,8176, 86.22 ,,,,,,
Mediterranean Botany,2022,1,8177, 86.23 ,,,,,,
MEDYCYNA PRACY,2022,1,8178, 86.24 ,,,,,,
Membrane and Water Treatment,2022,1,8179, 86.25 ,,,,,,
Metrology and Measurement Systems,2022,1,8180, 86.26 ,,,,,,
MIKROBIYOLOJI BULTENI,2022,1,8181, 86.27 ,,,,,,
Minerva Biotechnology and Biomolecular Research,2022,1,8182, 86.28 ,,,,,,
MOLLUSCAN RESEARCH,2022,1,8183, 86.29 ,,,,,,
MYCOTAXON,2022,1,8184, 86.30 ,,,,,,
Networks and Heterogeneous Media,2022,1,8185, 86.31 ,,,,,,
New Medit,2022,1,8186, 86.32 ,,,,,,
NORTH AMERICAN JOURNAL OF AQUACULTURE,2022,1,8187, 86.33 ,,,,,,
Notfall & Rettungsmedizin,2022,1,8188, 86.34 ,,,,,,
NOVA HEDWIGIA,2022,1,8189, 86.35 ,,,,,,
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,2022,1,8190, 86.37 ,,,,,,
OCEANOLOGY,2022,1,8191, 86.38 ,,,,,,
Ophthalmic Surgery Lasers & Imaging Retina,2022,1,8192, 86.39 ,,,,,,
OSTRICH,2022,1,8193, 86.40 ,,,,,,
Pathologie,2022,1,8194, 86.41 ,,,,,,
PERSPECTIVES IN BIOLOGY AND MEDICINE,2022,1,8195, 86.42 ,,,,,,
Pflege,2022,1,8196, 86.43 ,,,,,,
Physiotherapy Canada,2022,1,8197, 86.44 ,,,,,,
PHYTOCOENOLOGIA,2022,1,8198, 86.45 ,,,,,,
Polish Journal of Chemical Technology,2022,1,8199, 86.46 ,,,,,,
POLYMER SCIENCE SERIES A,2022,1,8200, 86.47 ,,,,,,
POSITIVITY,2022,1,8201, 86.48 ,,,,,,
POWDER METALLURGY AND METAL CERAMICS,2022,1,8202, 86.49 ,,,,,,
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,2022,1,8203, 86.50 ,,,,,,
PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,2022,1,8204, 86.51 ,,,,,,
PROCESS SAFETY PROGRESS,2022,1,8205, 86.52 ,,,,,,
Promet-Traffic & Transportation,2022,1,8206, 86.53 ,,,,,,
QUANTUM INFORMATION & COMPUTATION,2022,1,8207, 86.54 ,,,,,,
Radiation Effects and Defects in Solids,2022,1,8208, 86.55 ,,,,,,
RADIATION PROTECTION DOSIMETRY,2022,1,8209, 86.57 ,,,,,,
RANDOM STRUCTURES & ALGORITHMS,2022,1,8210, 86.58 ,,,,,,
Revista Brasileira de Anestesiologia,2022,1,8211, 86.59 ,,,,,,
Revista Brasileira de Fruticultura,2022,1,8212, 86.60 ,,,,,,
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,2022,1,8213, 86.61 ,,,,,,
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,2022,1,8214, 86.62 ,,,,,,
REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA,2022,1,8215, 86.63 ,,,,,,
Romanian Journal of Morphology and Embryology,2022,1,8216, 86.64 ,,,,,,
RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,2022,1,8217, 86.65 ,,,,,,
SCANDINAVIAN JOURNAL OF STATISTICS,2022,1,8218, 86.66 ,,,,,,
SCHMERZ,2022,1,8219, 86.67 ,,,,,,
SEMINARS IN SPEECH AND LANGUAGE,2022,1,8220, 86.68 ,,,,,,
SIAM Journal on Financial Mathematics,2022,1,8221, 86.69 ,,,,,,
SILVAE GENETICA,2022,1,8222, 86.70 ,,,,,,
South African Journal of Psychiatry,2022,1,8223, 86.71 ,,,,,,
Statistical Methods and Applications,2022,1,8224, 86.72 ,,,,,,
STATISTICAL MODELLING,2022,1,8225, 86.73 ,,,,,,
STRATIGRAPHY AND GEOLOGICAL CORRELATION,2022,1,8226, 86.74 ,,,,,,
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,2022,1,8227, 86.76 ,,,,,,
SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,2022,1,8228, 86.77 ,,,,,,
SYSTEMATIC BOTANY,2022,1,8229, 86.78 ,,,,,,
TENSIDE SURFACTANTS DETERGENTS,2022,1,8230, 86.79 ,,,,,,
Theoretical and Experimental Chemistry,2022,1,8231, 86.80 ,,,,,,
THEORETICAL AND MATHEMATICAL PHYSICS,2022,1,8232, 86.81 ,,,,,,
Theory of Computing,2022,1,8233, 86.82 ,,,,,,
tm-Technisches Messen,2022,1,8234, 86.83 ,,,,,,
TURKISH JOURNAL OF EARTH SCIENCES,2022,1,8235, 86.84 ,,,,,,
Turkish Journal of Mathematics,2022,1,8236, 86.85 ,,,,,,
TURKISH JOURNAL OF ZOOLOGY,2022,1,8237, 86.86 ,,,,,,
ULTRASTRUCTURAL PATHOLOGY,2022,1,8238, 86.87 ,,,,,,
Veterinary Research Forum,2022,1,8239, 86.88 ,,,,,,
Water Resources,2022,1,8240, 86.89 ,,,,,,
YONAGO ACTA MEDICA,2022,1,8241, 86.90 ,,,,,,
Zeitschrift fur Orthopadie und Unfallchirurgie,2022,1,8242, 86.91 ,,,,,,
ZEITSCHRIFT FUR RHEUMATOLOGIE,2022,1,8243, 86.92 ,,,,,,
ZOOMORPHOLOGY,2022,1,8244, 86.93 ,,,,,,
ZOOSYSTEMA,2022,1,8245, 86.95 ,,,,,,
ACCREDITATION AND QUALITY ASSURANCE,2022,0.9,8246, 86.96 ,,,,,,
ACM Transactions on Modeling and Computer Simulation,2022,0.9,8247, 86.97 ,,,,,,
ACTA ADRIATICA,2022,0.9,8248, 86.98 ,,,,,,
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,2022,0.9,8249, 86.99 ,,,,,,
Acta Crystallographica Section F-Structural Biology Communications,2022,0.9,8250, 87.00 ,,,,,,
Acta Geodynamica et Geomaterialia,2022,0.9,8251, 87.01 ,,,,,,
ACTA MATHEMATICA HUNGARICA,2022,0.9,8252, 87.02 ,,,,,,
ACTA VETERINARIA HUNGARICA,2022,0.9,8253, 87.03 ,,,,,,
Ad Hoc & Sensor Wireless Networks,2022,0.9,8254, 87.04 ,,,,,,
Advances in Mathematics of Communications,2022,0.9,8255, 87.05 ,,,,,,
Aerospace Medicine and Human Performance,2022,0.9,8256, 87.06 ,,,,,,
African Journal of Wildlife Research,2022,0.9,8257, 87.07 ,,,,,,
AI MAGAZINE,2022,0.9,8258, 87.08 ,,,,,,
AMERICAN JOURNAL OF PHYSICS,2022,0.9,8259, 87.09 ,,,,,,
ANATOMIA HISTOLOGIA EMBRYOLOGIA,2022,0.9,8260, 87.10 ,,,,,,
Andean Geology,2022,0.9,8261, 87.11 ,,,,,,
ANIMAL BIODIVERSITY AND CONSERVATION,2022,0.9,8262, 87.12 ,,,,,,
ANNALES ACADEMIAE SCIENTIARUM FENNICAE-MATHEMATICA,2022,0.9,8263, 87.13 ,,,,,,
ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,2022,0.9,8264, 87.15 ,,,,,,
ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,2022,0.9,8265, 87.16 ,,,,,,
ANZIAM JOURNAL,2022,0.9,8266, 87.17 ,,,,,,
AORN JOURNAL,2022,0.9,8267, 87.18 ,,,,,,
Applicable Analysis and Discrete Mathematics,2022,0.9,8268, 87.19 ,,,,,,
APPLIED ENGINEERING IN AGRICULTURE,2022,0.9,8269, 87.20 ,,,,,,
Archives of Acoustics,2022,0.9,8270, 87.21 ,,,,,,
ARKIVOC,2022,0.9,8271, 87.22 ,,,,,,
ASTRONOMISCHE NACHRICHTEN,2022,0.9,8272, 87.23 ,,,,,,
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,2022,0.9,8273, 87.24 ,,,,,,
AUSTRAL JOURNAL OF VETERINARY SCIENCES,2022,0.9,8274, 87.25 ,,,,,,
Bangladesh Journal of Plant Taxonomy,2022,0.9,8275, 87.26 ,,,,,,
Biomedica,2022,0.9,8276, 87.27 ,,,,,,
BIOMEDICAL PAPERS-OLOMOUC,2022,0.9,8277, 87.28 ,,,,,,
Biomolecular NMR Assignments,2022,0.9,8278, 87.29 ,,,,,,
BRITISH JOURNAL OF HOSPITAL MEDICINE,2022,0.9,8279, 87.30 ,,,,,,
BRITTONIA,2022,0.9,8280, 87.31 ,,,,,,
BRYOLOGIST,2022,0.9,8281, 87.32 ,,,,,,
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,2022,0.9,8282, 87.34 ,,,,,,
CAHIERS AGRICULTURES,2022,0.9,8283, 87.35 ,,,,,,
CANADIAN ENTOMOLOGIST,2022,0.9,8284, 87.36 ,,,,,,
CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,2022,0.9,8285, 87.37 ,,,,,,
CANADIAN METALLURGICAL QUARTERLY,2022,0.9,8286, 87.38 ,,,,,,
CANADIAN MINERALOGIST,2022,0.9,8287, 87.39 ,,,,,,
CERAMICS-SILIKATY,2022,0.9,8288, 87.40 ,,,,,,
China Petroleum Processing & Petrochemical Technology,2022,0.9,8289, 87.41 ,,,,,,
Chirurgie,2022,0.9,8290, 87.42 ,,,,,,
CIRCUIT WORLD,2022,0.9,8291, 87.43 ,,,,,,
COMBINATORICS PROBABILITY & COMPUTING,2022,0.9,8292, 87.44 ,,,,,,
COMMENTARII MATHEMATICI HELVETICI,2022,0.9,8293, 87.45 ,,,,,,
Communications in Mathematics and Statistics,2022,0.9,8294, 87.46 ,,,,,,
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,2022,0.9,8295, 87.47 ,,,,,,
Complex Variables and Elliptic Equations,2022,0.9,8296, 87.48 ,,,,,,
CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,2022,0.9,8297, 87.49 ,,,,,,
Control Engineering and Applied Informatics,2022,0.9,8298, 87.50 ,,,,,,
Czech Journal of Genetics and Plant Breeding,2022,0.9,8299, 87.51 ,,,,,,
DEFENCE SCIENCE JOURNAL,2022,0.9,8300, 87.53 ,,,,,,
Dendrobiology,2022,0.9,8301, 87.54 ,,,,,,
Digest Journal of Nanomaterials and Biostructures,2022,0.9,8302, 87.55 ,,,,,,
Diving and Hyperbaric Medicine,2022,0.9,8303, 87.56 ,,,,,,
Documenta Mathematica,2022,0.9,8304, 87.57 ,,,,,,
DOKLADY EARTH SCIENCES,2022,0.9,8305, 87.58 ,,,,,,
DOKLADY PHYSICAL CHEMISTRY,2022,0.9,8306, 87.59 ,,,,,,
EARTH MOON AND PLANETS,2022,0.9,8307, 87.60 ,,,,,,
Earth Sciences Research Journal,2022,0.9,8308, 87.61 ,,,,,,
Economic Computation and Economic Cybernetics Studies and Research,2022,0.9,8309, 87.62 ,,,,,,
ENTOMOLOGICAL SCIENCE,2022,0.9,8310, 87.63 ,,,,,,
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,2022,0.9,8311, 87.64 ,,,,,,
EQUINE VETERINARY EDUCATION,2022,0.9,8312, 87.65 ,,,,,,
ERGODIC THEORY AND DYNAMICAL SYSTEMS,2022,0.9,8313, 87.66 ,,,,,,
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,2022,0.9,8314, 87.67 ,,,,,,
Experimental and Clinical Transplantation,2022,0.9,8315, 87.68 ,,,,,,
Exploration Geophysics,2022,0.9,8316, 87.69 ,,,,,,
FIBRES & TEXTILES IN EASTERN EUROPE,2022,0.9,8317, 87.70 ,,,,,,
Fluid Dynamics,2022,0.9,8318, 87.71 ,,,,,,
FLUORIDE,2022,0.9,8319, 87.73 ,,,,,,
FOREST PRODUCTS JOURNAL,2022,0.9,8320, 87.74 ,,,,,,
Foundations of Chemistry,2022,0.9,8321, 87.75 ,,,,,,
Foundations of Science,2022,0.9,8322, 87.76 ,,,,,,
FUSION SCIENCE AND TECHNOLOGY,2022,0.9,8323, 87.77 ,,,,,,
Gospodarka Surowcami Mineralnymi-Mineral Resources Management,2022,0.9,8324, 87.78 ,,,,,,
GRANA,2022,0.9,8325, 87.79 ,,,,,,
Gravitation & Cosmology,2022,0.9,8326, 87.80 ,,,,,,
Hemijska Industrija,2022,0.9,8327, 87.81 ,,,,,,
HERPETOZOA,2022,0.9,8328, 87.82 ,,,,,,
HISTORY OF THE HUMAN SCIENCES,2022,0.9,8329, 87.83 ,,,,,,
HNO,2022,0.9,8330, 87.84 ,,,,,,
Idojaras,2022,0.9,8331, 87.85 ,,,,,,
Image Analysis & Stereology,2022,0.9,8332, 87.86 ,,,,,,
INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES,2022,0.9,8333, 87.87 ,,,,,,
Indian Journal of Hematology and Blood Transfusion,2022,0.9,8334, 87.88 ,,,,,,
INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,2022,0.9,8335, 87.89 ,,,,,,
Inland Water Biology,2022,0.9,8336, 87.90 ,,,,,,
International Journal of Diabetes in Developing Countries,2022,0.9,8337, 87.92 ,,,,,,
International Journal of Global Warming,2022,0.9,8338, 87.93 ,,,,,,
INTERNATIONAL JOURNAL OF ODONATOLOGY,2022,0.9,8339, 87.94 ,,,,,,
INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,2022,0.9,8340, 87.95 ,,,,,,
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,2022,0.9,8341, 87.96 ,,,,,,
INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,2022,0.9,8342, 87.97 ,,,,,,
IRANIAN JOURNAL OF FISHERIES SCIENCES,2022,0.9,8343, 87.98 ,,,,,,
Iranian Journal of Immunology,2022,0.9,8344, 87.99 ,,,,,,
Iranian Journal of Parasitology,2022,0.9,8345, 88.00 ,,,,,,
JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS,2022,0.9,8346, 88.01 ,,,,,,
Jokull,2022,0.9,8347, 88.02 ,,,,,,
Journal of Advanced Mechanical Design Systems and Manufacturing,2022,0.9,8348, 88.03 ,,,,,,
Journal of Agricultural Sciences-Tarim Bilimleri Dergisi,2022,0.9,8349, 88.04 ,,,,,,
JOURNAL OF ALGEBRA,2022,0.9,8350, 88.05 ,,,,,,
JOURNAL OF APPLIED ICHTHYOLOGY,2022,0.9,8351, 88.06 ,,,,,,
JOURNAL OF APPROXIMATION THEORY,2022,0.9,8352, 88.07 ,,,,,,
Journal of Arthropod-Borne Diseases,2022,0.9,8353, 88.08 ,,,,,,
JOURNAL OF CAVE AND KARST STUDIES,2022,0.9,8354, 88.09 ,,,,,,
JOURNAL OF CLINICAL ULTRASOUND,2022,0.9,8355, 88.11 ,,,,,,
Journal of Combinatorial Algebra,2022,0.9,8356, 88.12 ,,,,,,
JOURNAL OF COMPUTATIONAL MATHEMATICS,2022,0.9,8357, 88.13 ,,,,,,
JOURNAL OF CRANIOFACIAL SURGERY,2022,0.9,8358, 88.14 ,,,,,,
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,2022,0.9,8359, 88.15 ,,,,,,
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,2022,0.9,8360, 88.16 ,,,,,,
JOURNAL OF ENTOMOLOGICAL SCIENCE,2022,0.9,8361, 88.17 ,,,,,,
JOURNAL OF ETHOLOGY,2022,0.9,8362, 88.18 ,,,,,,
JOURNAL OF FIELD ORNITHOLOGY,2022,0.9,8363, 88.19 ,,,,,,
Journal of Forest Economics,2022,0.9,8364, 88.20 ,,,,,,
JOURNAL OF GRAPH THEORY,2022,0.9,8365, 88.21 ,,,,,,
Journal of Logical and Algebraic Methods in Programming,2022,0.9,8366, 88.22 ,,,,,,
Journal of Mathematical Logic,2022,0.9,8367, 88.23 ,,,,,,
Journal of Mechanics of Materials and Structures,2022,0.9,8368, 88.24 ,,,,,,
Journal of Medical Devices-Transactions of the ASME,2022,0.9,8369, 88.25 ,,,,,,
Journal of Neurological Surgery Part B-Skull Base,2022,0.9,8370, 88.26 ,,,,,,
JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,2022,0.9,8371, 88.27 ,,,,,,
Journal of Noncommutative Geometry,2022,0.9,8372, 88.28 ,,,,,,
JOURNAL OF RUSSIAN LASER RESEARCH,2022,0.9,8373, 88.29 ,,,,,,
Journal of Statistical Planning and Inference,2022,0.9,8374, 88.31 ,,,,,,
Journal of Superhard Materials,2022,0.9,8375, 88.32 ,,,,,,
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,2022,0.9,8376, 88.33 ,,,,,,
Journal of the Institute of Mathematics of Jussieu,2022,0.9,8377, 88.34 ,,,,,,
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,2022,0.9,8378, 88.35 ,,,,,,
JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2022,0.9,8379, 88.36 ,,,,,,
Journal of the South African Veterinary Association,2022,0.9,8380, 88.37 ,,,,,,
Journal of the Southern African Institute of Mining and Metallurgy,2022,0.9,8381, 88.38 ,,,,,,
JOURNAL OF TIME SERIES ANALYSIS,2022,0.9,8382, 88.39 ,,,,,,
JOURNAL OF TROPICAL FOREST SCIENCE,2022,0.9,8383, 88.40 ,,,,,,
KEW BULLETIN,2022,0.9,8384, 88.41 ,,,,,,
LASER AND PARTICLE BEAMS,2022,0.9,8385, 88.42 ,,,,,,
LCGC North America,2022,0.9,8386, 88.43 ,,,,,,
MATERIALS SCIENCE,2022,0.9,8387, 88.44 ,,,,,,
Measurement Science Review,2022,0.9,8388, 88.45 ,,,,,,
MEDICAL PROBLEMS OF PERFORMING ARTISTS,2022,0.9,8389, 88.46 ,,,,,,
METALLURGIST,2022,0.9,8390, 88.47 ,,,,,,
METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,2022,0.9,8391, 88.48 ,,,,,,
MICHIGAN MATHEMATICAL JOURNAL,2022,0.9,8392, 88.50 ,,,,,,
MINERVA BIOTECNOLOGICA,2022,0.9,8393, 88.51 ,,,,,,
Miskolc Mathematical Notes,2022,0.9,8394, 88.52 ,,,,,,
MONATSHEFTE FUR MATHEMATIK,2022,0.9,8395, 88.53 ,,,,,,
Nagoya Journal of Medical Science,2022,0.9,8396, 88.54 ,,,,,,
NATURAL AREAS JOURNAL,2022,0.9,8397, 88.55 ,,,,,,
Nephrology Nursing Journal,2022,0.9,8398, 88.56 ,,,,,,
Neurosciences,2022,0.9,8399, 88.57 ,,,,,,
NEW ZEALAND JOURNAL OF BOTANY,2022,0.9,8400, 88.58 ,,,,,,
Nigerian Journal of Clinical Practice,2022,0.9,8401, 88.59 ,,,,,,
NORDIC JOURNAL OF BOTANY,2022,0.9,8402, 88.60 ,,,,,,
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,2022,0.9,8403, 88.61 ,,,,,,
Oncologie,2022,0.9,8404, 88.62 ,,,,,,
Ophthalmologie,2022,0.9,8405, 88.63 ,,,,,,
ORNIS FENNICA,2022,0.9,8406, 88.64 ,,,,,,
PALEONTOLOGICAL RESEARCH,2022,0.9,8407, 88.65 ,,,,,,
Pediatric Allergy Immunology and Pulmonology,2022,0.9,8408, 88.66 ,,,,,,
Petrophysics,2022,0.9,8409, 88.67 ,,,,,,
PHARMACEUTICAL CHEMISTRY JOURNAL,2022,0.9,8410, 88.69 ,,,,,,
PHONETICA,2022,0.9,8411, 88.70 ,,,,,,
PHYSICS TEACHER,2022,0.9,8412, 88.71 ,,,,,,
Proceedings of the Estonian Academy of Sciences,2022,0.9,8413, 88.72 ,,,,,,
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,2022,0.9,8414, 88.73 ,,,,,,
PSYCHIATRIC GENETICS,2022,0.9,8415, 88.74 ,,,,,,
QUANTUM ELECTRONICS,2022,0.9,8416, 88.75 ,,,,,,
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,2022,0.9,8417, 88.76 ,,,,,,
Random Matrices-Theory and Applications,2022,0.9,8418, 88.77 ,,,,,,
REHABILITATION,2022,0.9,8419, 88.78 ,,,,,,
Revista Caatinga,2022,0.9,8420, 88.79 ,,,,,,
Revista da Escola de Enfermagem da USP,2022,0.9,8421, 88.80 ,,,,,,
Revista Mexicana de Biodiversidad,2022,0.9,8422, 88.81 ,,,,,,
REVSTAT-Statistical Journal,2022,0.9,8423, 88.82 ,,,,,,
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,2022,0.9,8424, 88.83 ,,,,,,
REVUE DE MEDECINE INTERNE,2022,0.9,8425, 88.84 ,,,,,,
RUSSIAN JOURNAL OF APPLIED CHEMISTRY,2022,0.9,8426, 88.85 ,,,,,,
RUSSIAN JOURNAL OF GENERAL CHEMISTRY,2022,0.9,8427, 88.86 ,,,,,,
RUSSIAN JOURNAL OF NONDESTRUCTIVE TESTING,2022,0.9,8428, 88.87 ,,,,,,
RUSSIAN MATHEMATICAL SURVEYS,2022,0.9,8429, 88.89 ,,,,,,
Science of Advanced Materials,2022,0.9,8430, 88.90 ,,,,,,
SOCIOBIOLOGY,2022,0.9,8431, 88.91 ,,,,,,
SOLAR SYSTEM RESEARCH,2022,0.9,8432, 88.92 ,,,,,,
SOMATOSENSORY AND MOTOR RESEARCH,2022,0.9,8433, 88.93 ,,,,,,
South American Journal of Herpetology,2022,0.9,8434, 88.94 ,,,,,,
SPANISH JOURNAL OF AGRICULTURAL RESEARCH,2022,0.9,8435, 88.95 ,,,,,,
Statistical Applications in Genetics and Molecular Biology,2022,0.9,8436, 88.96 ,,,,,,
Stochastics-An International Journal of Probability and Stochastic Processes,2022,0.9,8437, 88.97 ,,,,,,
STUDIA GEOPHYSICA ET GEODAETICA,2022,0.9,8438, 88.98 ,,,,,,
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences,2022,0.9,8439, 88.99 ,,,,,,
STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,2022,0.9,8440, 89.00 ,,,,,,
Survey Methodology,2022,0.9,8441, 89.01 ,,,,,,
Symmetry Integrability and Geometry-Methods and Applications,2022,0.9,8442, 89.02 ,,,,,,
TAIWANIA,2022,0.9,8443, 89.03 ,,,,,,
Tehnicki Vjesnik-Technical Gazette,2022,0.9,8444, 89.04 ,,,,,,
TEXAS HEART INSTITUTE JOURNAL,2022,0.9,8445, 89.05 ,,,,,,
Transactions of the Canadian Society for Mechanical Engineering,2022,0.9,8446, 89.06 ,,,,,,
Translational Cancer Research,2022,0.9,8447, 89.08 ,,,,,,
TRANSPLANTATION PROCEEDINGS,2022,0.9,8448, 89.09 ,,,,,,
TROPICAL ZOOLOGY,2022,0.9,8449, 89.10 ,,,,,,
Twin Research and Human Genetics,2022,0.9,8450, 89.11 ,,,,,,
Undersea and Hyperbaric Medicine,2022,0.9,8451, 89.12 ,,,,,,
Vascular and Endovascular Surgery,2022,0.9,8452, 89.13 ,,,,,,
VIROLOGIE,2022,0.9,8453, 89.14 ,,,,,,
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,2022,0.9,8454, 89.15 ,,,,,,
Zemdirbyste-Agriculture,2022,0.9,8455, 89.16 ,,,,,,
Zoologia,2022,0.9,8456, 89.17 ,,,,,,
ZOOLOGICAL SCIENCE,2022,0.9,8457, 89.18 ,,,,,,
Zootaxa,2022,0.9,8458, 89.19 ,,,,,,
ACOUSTICAL PHYSICS,2022,0.8,8459, 89.20 ,,,,,,
ACTA AMAZONICA,2022,0.8,8460, 89.21 ,,,,,,
Acta Botanica Mexicana,2022,0.8,8461, 89.22 ,,,,,,
ACTA CHIRURGICA BELGICA,2022,0.8,8462, 89.23 ,,,,,,
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2022,0.8,8463, 89.24 ,,,,,,
Acta Herpetologica,2022,0.8,8464, 89.25 ,,,,,,
Acta Mathematicae Applicatae Sinica-English Series,2022,0.8,8465, 89.27 ,,,,,,
ACTA SCIENTIARUM-TECHNOLOGY,2022,0.8,8466, 89.28 ,,,,,,
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,2022,0.8,8467, 89.29 ,,,,,,
ADANSONIA,2022,0.8,8468, 89.30 ,,,,,,
Advancements of Microbiology,2022,0.8,8469, 89.31 ,,,,,,
Advances in Electrical and Computer Engineering,2022,0.8,8470, 89.32 ,,,,,,
Aequationes Mathematicae,2022,0.8,8471, 89.33 ,,,,,,
AFRICAN ENTOMOLOGY,2022,0.8,8472, 89.34 ,,,,,,
AI COMMUNICATIONS,2022,0.8,8473, 89.35 ,,,,,,
AMERICAN FERN JOURNAL,2022,0.8,8474, 89.36 ,,,,,,
Annali Italiani di Chirurgia,2022,0.8,8475, 89.37 ,,,,,,
ANNALS OF CLINICAL AND LABORATORY SCIENCE,2022,0.8,8476, 89.38 ,,,,,,
ANNALS OF PURE AND APPLIED LOGIC,2022,0.8,8477, 89.39 ,,,,,,
APPLIED BIOCHEMISTRY AND MICROBIOLOGY,2022,0.8,8478, 89.40 ,,,,,,
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2022,0.8,8479, 89.41 ,,,,,,
AQUATIC INSECTS,2022,0.8,8480, 89.42 ,,,,,,
Archives of Biological Sciences,2022,0.8,8481, 89.43 ,,,,,,
ARCHIVES OF MECHANICS,2022,0.8,8482, 89.44 ,,,,,,
Archivos Argentinos de Pediatria,2022,0.8,8483, 89.45 ,,,,,,
ARS Mathematica Contemporanea,2022,0.8,8484, 89.47 ,,,,,,
ASHRAE JOURNAL,2022,0.8,8485, 89.48 ,,,,,,
Asian Myrmecology,2022,0.8,8486, 89.49 ,,,,,,
ASTRONOMY & GEOPHYSICS,2022,0.8,8487, 89.50 ,,,,,,
AUSTRALIAN JOURNAL OF ZOOLOGY,2022,0.8,8488, 89.51 ,,,,,,
Austrian Journal of Forest Science,2022,0.8,8489, 89.52 ,,,,,,
BALTIC FORESTRY,2022,0.8,8490, 89.53 ,,,,,,
Bioagro,2022,0.8,8491, 89.54 ,,,,,,
Boletin de la Sociedad Geologica Mexicana,2022,0.8,8492, 89.55 ,,,,,,
Botanica Serbica,2022,0.8,8493, 89.56 ,,,,,,
Brain Impairment,2022,0.8,8494, 89.57 ,,,,,,
Central European Journal of Energetic Materials,2022,0.8,8495, 89.58 ,,,,,,
Cerne,2022,0.8,8496, 89.59 ,,,,,,
CHEMIE IN UNSERER ZEIT,2022,0.8,8497, 89.60 ,,,,,,
CHEMISTRY OF NATURAL COMPOUNDS,2022,0.8,8498, 89.61 ,,,,,,
